Amount Filter: -886.95
No transactions found.


Expenditures

2/22/2022,-27.82,*,,PURCHASE AUTHORIZED ON 02/21 Wal-Mart Super Center REXBURG ID P000000984518865 CARD 9359
2/22/2022,-26.1,*,,PURCHASE AUTHORIZED ON 02/20 CAFE RIO 0005 DRAP DRAPER UT S302051780694876 CARD 9359
2/22/2022,-16.08,*,,PURCHASE AUTHORIZED ON 02/20 LOVELAND LIVING PL DRAPER UT S302051769273825 CARD 9359
2/22/2022,-21.95,*,,PURCHASE AUTHORIZED ON 02/20 THE LIVING PLANET 801-355-3474 UT S462051712427595 CARD 9359
2/22/2022,-1.02,*,,PURCHASE AUTHORIZED ON 02/20 HARMONS - DRAPE DRAPER UT P000000483696173 CARD 9359
2/22/2022,-20,*,,PURCHASE AUTHORIZED ON 02/19 VENMO* Visa Direct NY S382051115199647 CARD 9359
2/22/2022,-9.43,*,,PURCHASE AUTHORIZED ON 02/19 MAURICE'S #2110 MAURICES_ FARMINGTON UT P382050746177733 CARD 9359
2/18/2022,-8.19,*,,PURCHASE AUTHORIZED ON 02/18 VENMO* Visa Direct NY S582050070751358 CARD 9359
2/18/2022,-6.03,*,,PURCHASE AUTHORIZED ON 02/18 MAVERIK #347 POCATELLO ID P000000079244952 CARD 9359
2/18/2022,-4.24,*,,PURCHASE AUTHORIZED ON 02/18 DOLLAR TR 125 VALLEY R REXBURG ID P000000987183230 CARD 9359
2/15/2022,-63.84,*,,PURCHASE AUTHORIZED ON 02/15 Wal-Mart Super Center REXBURG ID P000000587038532 CARD 9359
2/11/2022,-15.87,*,,PURCHASE AUTHORIZED ON 02/10 HOBBYLOBB 3603 SOUTH 2 AMMON ID P000000473718987 CARD 9359
2/10/2022,-56.3,*,,PURCHASE AUTHORIZED ON 02/10 Wal-Mart Super Center AMMON ID P000000877052826 CARD 9359
2/10/2022,-24.37,*,,PURCHASE AUTHORIZED ON 02/10 COSTCO WHSE #1379 IDAHO FALLS ID P302042020798050 CARD 9359
2/9/2022,-51,*,,PURCHASE AUTHORIZED ON 02/09 VENMO* Visa Direct NY S462040638967261 CARD 9359
2/9/2022,-10,*,,PURCHASE AUTHORIZED ON 02/09 VENMO* Visa Direct NY S462040588514174 CARD 9359
2/8/2022,-27.55,*,,PURCHASE AUTHORIZED ON 02/07 SQ *PREMIER PRINTI gosq.com ID S462038610728771 CARD 9359
2/7/2022,-40.51,*,,PURCHASE AUTHORIZED ON 02/05 WAL-MART #1878 REXBURG ID P000000985930820 CARD 9359
2/3/2022,-122.51,*,,STATE FARM RO 27 SFPP 15 S 1426866715 JADEN DAVIS
2/3/2022,-82.44,*,,PURCHASE AUTHORIZED ON 01/30 AMZN Mktp US*KE4I8 Amzn.com/bill WA S462031068741604 CARD 9359
2/2/2022,-92.81,*,,PURCHASE AUTHORIZED ON 02/02 WAL-MART Wal-Mart Sup REXBURG ID P000000680502258 CARD 9359
1/31/2022,-3.7,*,,PURCHASE AUTHORIZED ON 01/29 COSTCO WHSE #1379 IDAHO FALLS ID P302029842557983 CARD 9359
1/31/2022,-10,*,,PURCHASE AUTHORIZED ON 01/29 VENMO* Visa Direct NY S462029771760188 CARD 9359
1/31/2022,-50.81,*,,PURCHASE AUTHORIZED ON 01/29 TARGET T- 2171 S 25th Idaho Falls ID P000000775031805 CARD 9359
1/26/2022,-98.41,*,,Ch JesusChrist DONATION 220126 87260338 DAVIS JADEN CLAIR
1/26/2022,-68.07,*,,CAPITAL ONE MOBILE PMT 220125 3L4901JX4F5QRYT JADEN C DAVIS
1/24/2022,-18.52,*,,PURCHASE AUTHORIZED ON 01/22 BROULIM'S #6 REXBURG ID P000000772925061 CARD 9359
1/24/2022,-29.11,*,,PURCHASE AUTHORIZED ON 01/22 FRED-MEYE FRED MEYER 1 IDAHO FALLS ID P000000384268979 CARD 9359
1/24/2022,-10.6,*,,PURCHASE AUTHORIZED ON 01/22 DOLLAR TR 1513 NORTHGA IDAHO FALLS ID P000000584466301 CARD 9359
1/24/2022,-110.87,*,,PURCHASE AUTHORIZED ON 01/22 COSTCO WHSE #1379 IDAHO FALLS ID P462022758108118 CARD 9359
1/24/2022,-3.48,*,,PURCHASE AUTHORIZED ON 01/22 SQ *DRINK FACTORY Ammon ID S382022740218906 CARD 9359
1/21/2022,-10,*,,PURCHASE AUTHORIZED ON 01/21 VENMO* Visa Direct NY S302021821330191 CARD 9359
1/20/2022,-32.84,*,,PURCHASE AUTHORIZED ON 01/20 SALLY BEAUTY 106 1480 N 2 REXBURG ID P582021010307798 CARD 9359
1/19/2022,-111,*,,Ch JesusChrist DONATION 220119 86986192 DAVIS JADEN CLAIR
1/19/2022,-9,*,,PURCHASE AUTHORIZED ON 01/17 TETON MANAGEMENT G TETONIA ID S302017857912757 CARD 9359
1/19/2022,-20.13,*,,PURCHASE AUTHORIZED ON 01/11 AMZN Mktp US*GW4SL Amzn.com/bill WA S382012260511560 CARD 9359
1/18/2022,-39.31,*,,CAPITAL ONE MOBILE PMT 220115 3L24YJB3R5ETKWL JADEN C DAVIS
1/18/2022,-14.84,*,,PURCHASE AUTHORIZED ON 01/17 DOLLAR TR 125 VALLEY R REXBURG ID P000000682666466 CARD 9359
